alpha,object,fdsi_score,rank
0.6,Haikou,0.6348,6
0.6,Hong Kong,0.4545,32
0.6,Kunming,0.641,4
0.6,Guiyang,0.3242,38
0.6,Lhasa,0.7388,1
0.7,Harbin,0.5695,16
0.7,Changchun,0.5709,15
0.7,Shenyang,0.5513,19
0.7,Dalian,0.5453,22
0.7,Hohhot,0.6268,10
0.7,Tangshan,0.5378,23
0.7,Urumqi,0.5241,26
0.7,Beijing,0.6297,8
0.7,Tianjin,0.5455,21
0.7,Jinan,0.5587,18
0.7,Xian,0.5927,11
0.7,Taiyuan,0.5218,27
0.7,Shijiazhuang,0.6401,5
0.7,Zhengzhou,0.5464,20
0.7,Qingdao,0.5276,25
0.7,Lanzhou,0.6446,3
0.7,Yinchuan,0.7198,2
0.7,Xining,0.6324,7
0.7,Wuxi,0.5314,24
0.7,Suzhou,0.369,37
0.7,Changsha,0.5625,17
0.7,Wuhan,0.5857,13
0.7,Nanjing,0.5213,28
0.7,Chengdu,0.3188,39
0.7,Hangzhou,0.4067,35
0.7,Hefei,0.5127,31
0.7,Nanchang,0.5154,30
0.7,Ningbo,0.4428,33
0.7,Shanghai,0.4389,34
0.7,Chongqing,0.1752,41
0.7,Taipei,0.29,40
0.7,Shenzhen,0.5743,14
0.7,Guangzhou,0.5924,12
0.7,Xiamen,0.6279,9
0.7,Fuzhou,0.4019,36
0.7,Nanning,0.5158,29
0.7,Haikou,0.6328,6
0.7,Hong Kong,0.4515,32
0.7,Kunming,0.6411,4
0.7,Guiyang,0.3266,38
0.7,Lhasa,0.7355,1
0.8,Harbin,0.5717,15
0.8,Changchun,0.5713,16
0.8,Shenyang,0.5512,19
0.8,Dalian,0.5443,21
0.8,Hohhot,0.6271,10
0.8,Tangshan,0.5363,23
0.8,Urumqi,0.5206,27
0.8,Beijing,0.6307,8
0.8,Tianjin,0.544,22
0.8,Jinan,0.5611,18
0.8,Xian,0.591,12
0.8,Taiyuan,0.5204,28
0.8,Shijiazhuang,0.641,5
0.8,Zhengzhou,0.5452,20
0.8,Qingdao,0.525,25
0.8,Lanzhou,0.6429,3
0.8,Yinchuan,0.7185,2
0.8,Xining,0.6314,6
0.8,Wuxi,0.5307,24
0.8,Suzhou,0.366,37
0.8,Changsha,0.5631,17
0.8,Wuhan,0.5861,13
