d1_1_ghi_annual_kwh,d1_2_temp_annual_c,d1_3_ghi_cv_seasonal,d1_4_sunshine_hours,d4_1_lcoe_cny_kwh,d4_2_pbt_years,d4_3_npv_positive,d4_npv_cny_kwp,d4_annual_revenue_cny_kwp,mc_n_samples,mc_elapsed_s,mc_yield_mean,mc_yield_std,mc_yield_p05,mc_yield_p50,mc_yield_p95,d5_1_yield_cv,d5_2_pbt_ci95_width,d5_2_pbt_p025,d5_2_pbt_p975,d5_3_prob_pbt_le_15yr,mc_lcoe_mean,mc_lcoe_std,mc_lcoe_p05,mc_lcoe_p95,sobol_n_samples,sobol_elapsed_s,sobol_yield_S1_ghi_factor,sobol_yield_ST_ghi_factor,sobol_yield_S1_module_efficiency,sobol_yield_ST_module_efficiency,sobol_yield_S1_system_losses,sobol_yield_ST_system_losses,sobol_yield_S1_pv_cost,sobol_yield_ST_pv_cost,sobol_yield_S1_elec_price_factor,sobol_yield_ST_elec_price_factor,sobol_pbt_S1_ghi_factor,sobol_pbt_ST_ghi_factor,sobol_pbt_S1_module_efficiency,sobol_pbt_ST_module_efficiency,sobol_pbt_S1_system_losses,sobol_pbt_ST_system_losses,sobol_pbt_S1_pv_cost,sobol_pbt_ST_pv_cost,sobol_pbt_S1_elec_price_factor,sobol_pbt_ST_elec_price_factor,d5_4_interaction_ratio_yield,d5_4_interaction_ratio_pbt,d5_5_dominant_factor_yield,d5_5_dominant_S1_yield,d5_5_dominant_factor_pbt,d5_5_dominant_S1_pbt,method,specific_yield_kwh_kwp,energy_per_m2_kwh,city,name_en,name_cn,climate_zone,d3_total_generation_gwh,d3_self_sufficiency_ratio,total_elapsed_s,sobol_yield_S1_annual_degradation,sobol_yield_ST_annual_degradation,sobol_pbt_S1_annual_degradation,sobol_pbt_ST_annual_degradation
1678.7,13.7,0.3032,3464.0,0.1931,3.96,True,6200.0,788.1,10000.0,0.2,1385.9,107.3,1213.6,1383.0,1566.4,0.0775,2.76,3.23,5.99,1.0,0.2153,0.0273,0.1748,0.2635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simplified,1440.7,288.1,qingdao,Qingdao,青岛,cold,458.36,1.0972,0.2,,,,
1530.3,17.6,0.2577,3213.0,0.2146,4.33,True,5412.0,723.3,10000.0,0.2,1263.4,107.9,1091.0,1260.5,1444.3,0.0854,3.09,3.46,6.55,1.0,0.2373,0.0313,0.1911,0.2928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simplified,1296.2,259.2,wuxi,Wuxi,无锡,cold,360.19,0.8738,0.2,,,,
1388.3,16.8,0.2724,3012.0,0.236,4.78,True,4617.0,657.9,10000.0,0.2,1146.2,97.9,989.8,1143.5,1310.3,0.0854,3.44,3.83,7.27,1.0,0.2616,0.0345,0.2106,0.3228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simplified,1179.0,235.8,suzhou,Suzhou,苏州,cold,706.86,1.0492,0.2,,,,
1277.6,17.0,0.2617,2845.0,0.2566,5.42,True,3711.0,583.4,10000.0,0.2,1054.8,90.1,910.8,1052.3,1205.8,0.0854,3.93,4.33,8.26,1.0,0.2861,0.0378,0.2305,0.353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simplified,1084.3,216.9,hangzhou,Hangzhou,杭州,hscw,747.02,0.3423,0.2,,,,
1490.7,19.0,0.2862,3103.0,0.2214,4.14,True,5785.0,753.9,10000.0,0.2,1230.7,105.2,1062.8,1227.8,1406.9,0.0854,2.67,3.38,6.04,1.0,0.2452,0.0324,0.1975,0.3025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simplified,1256.5,251.3,nanchang,Nanchang,南昌,hscw,244.55,0.7575,0.2,,,,
1425.1,17.4,0.3121,2929.0,0.2303,4.84,True,4519.0,649.9,10000.0,0.2,1176.6,100.5,1016.0,1173.8,1345.0,0.0854,3.48,3.87,7.35,1.0,0.2565,0.0339,0.2066,0.3164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simplified,1207.9,241.6,ningbo,Ningbo,宁波,hscw,606.9,0.8389,0.2,,,,
1402.1,18.9,0.3183,3053.0,0.2353,4.28,True,5501.0,730.6,10000.0,0.2,1157.6,98.9,999.6,1154.9,1323.3,0.0854,3.04,3.41,6.45,1.0,0.2615,0.0345,0.2106,0.3227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simplified,1182.2,236.4,fuzhou,Fuzhou,福州,hsww,117.05,0.8133,0.2,,,,
2131.7,3.1,0.1959,3693.0,0.1468,4.49,True,5098.0,697.4,10000.0,0.2,1759.9,101.1,1597.2,1757.4,1929.6,0.0575,2.47,4.07,6.54,1.0,0.168,0.0193,0.139,0.2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simplified,1895.2,379.0,lhasa,Lhasa,拉萨,mild,365.38,2.3124,0.2,,,,
1606.1,13.5,0.2999,3443.0,0.2017,4.64,True,4837.0,676.0,10000.0,0.2,1326.0,92.8,1177.0,1323.1,1481.3,0.07,2.86,3.93,6.79,1.0,0.2248,0.0274,0.1838,0.2733,4096.0,0.5,0.6474,0.6499,0.2876,0.29,0.0622,0.0629,0.0,0.0,0.0,0.0,0.2302,0.2371,0.1016,0.1049,0.0217,0.0226,0.5325,0.5424,0.1011,0.1049,0.0055,0.0245,ghi_factor,0.6474,pv_cost,0.5325,simplified,1379.5,275.9,tianjin,Tianjin,天津,cold,351.12,0.9656,0.7,0.0,0.0,0.0,0.0
1573.4,15.9,0.3407,3248.0,0.2076,4.16,True,5744.0,750.5,10000.0,0.2,1299.0,90.9,1153.1,1296.2,1451.2,0.07,2.53,3.49,6.02,1.0,0.2295,0.028,0.1876,0.279,4096.0,0.5,0.6474,0.6499,0.2876,0.29,0.0622,0.0629,0.0,0.0,0.0,0.0,0.2302,0.2369,0.1016,0.1049,0.0217,0.0226,0.5328,0.5424,0.1012,0.1048,0.0055,0.024,ghi_factor,0.6474,pv_cost,0.5328,simplified,1340.2,268.0,zhengzhou,Zhengzhou,郑州,cold,1442.11,0.8822,0.7,0.0,0.0,0.0,0.0
1122.9,18.5,0.4616,2592.0,0.2935,6.45,True,2635.0,494.9,10000.0,0.2,927.1,103.3,762.0,925.0,1100.1,0.1114,4.84,5.08,9.92,1.0,0.3272,0.0498,0.2554,0.416,4096.0,0.5,0.8778,0.8813,0.0975,0.1005,0.0211,0.0218,0.0,0.0,0.0,0.0,0.5501,0.5682,0.058,0.0614,0.0121,0.0132,0.2997,0.3158,0.057,0.0613,0.0072,0.0421,ghi_factor,0.8778,ghi_factor,0.5501,simplified,948.1,189.6,chongqing,Chongqing,重庆,hscw,155.36,0.5368,0.7,0.0,0.0,0.0,0.0
1728.6,24.8,0.232,3467.0,0.1948,3.64,True,7001.0,853.9,10000.0,0.2,1427.1,133.9,1213.1,1423.6,1651.0,0.0938,2.36,2.88,5.25,1.0,0.216,0.0298,0.1723,0.2687,4096.0,0.5,0.8229,0.8261,0.1428,0.1457,0.0309,0.0316,0.0,0.0,0.0,0.0,0.4369,0.4494,0.0735,0.0766,0.0155,0.0165,0.3838,0.3962,0.0728,0.0765,0.0068,0.0322,ghi_factor,0.8229,ghi_factor,0.4369,simplified,1428.0,285.6,haikou,Haikou,海口,hsww,216.61,0.7314,0.7,0.0,0.0,0.0,0.0
1658.3,7.8,0.3993,3493.0,0.1917,5.45,True,3677.0,580.6,10000.0,0.2,1369.1,78.7,1242.5,1367.1,1501.1,0.0575,2.98,4.85,7.83,1.0,0.2152,0.0247,0.1781,0.2592,4096.0,0.5,0.3991,0.4006,0.4925,0.4942,0.1065,0.1072,0.0,0.0,0.0,0.0,0.1066,0.1096,0.1319,0.1355,0.0283,0.0292,0.6927,0.6994,0.0327,0.0338,0.0038,0.0151,module_efficiency,0.4925,pv_cost,0.6927,simplified,1451.5,290.3,urumqi,Urumqi,乌鲁木齐,severe_cold,373.96,0.7469,0.7,0.0,0.0,0.0,0.0
1685.8,7.7,0.3364,3485.0,0.1885,4.27,True,5520.0,732.1,10000.0,0.2,1391.8,88.0,1250.2,1389.3,1539.4,0.0632,2.6,3.72,6.31,1.0,0.2119,0.025,0.1743,0.2563,4096.0,0.5,0.5409,0.5429,0.3755,0.3776,0.0812,0.0819,0.0,0.0,0.0,0.0,0.1602,0.165,0.1111,0.1145,0.0237,0.0247,0.5832,0.5919,0.1107,0.1144,0.0048,0.0212,ghi_factor,0.5409,pv_cost,0.5832,simplified,1476.1,295.2,hohhot,Hohhot,呼和浩特,severe_cold,215.97,0.8058,0.7,0.0,0.0,0.0,0.0
1779.1,10.5,0.3145,3545.0,0.1803,4.62,True,4875.0,679.1,10000.0,0.2,1468.8,92.9,1319.4,1466.2,1624.6,0.0632,2.56,4.05,6.62,1.0,0.2008,0.0237,0.1652,0.2428,4096.0,0.5,0.5409,0.5429,0.3755,0.3776,0.0812,0.0819,0.0,0.0,0.0,0.0,0.1753,0.18,0.1215,0.1249,0.026,0.0269,0.6379,0.6456,0.0301,0.0311,0.0048,0.0175,ghi_factor,0.5409,pv_cost,0.6379,simplified,1543.4,308.7,yinchuan,Yinchuan,银川,cold,338.0,0.9183,0.7,0.0,0.0,0.0,0.0
1417.5,22.4,0.2508,3181.0,0.2356,4.29,True,5492.0,729.9,10000.0,0.2,1170.3,100.0,1010.6,1167.5,1337.8,0.0854,2.73,3.45,6.18,1.0,0.2604,0.0344,0.2098,0.3213,4096.0,0.5,0.7813,0.7844,0.1771,0.1799,0.0383,0.039,0.0,0.0,0.0,0.0,0.3713,0.3823,0.0824,0.0856,0.0175,0.0184,0.4307,0.4425,0.0818,0.0855,0.0065,0.0302,ghi_factor,0.7813,pv_cost,0.4307,simplified,1181.0,236.2,nanning,Nanning,南宁,hsww,270.99,0.5768,0.7,0.0,0.0,0.0,0.0
1460.8,16.8,0.3008,3129.0,0.2243,4.51,True,5079.0,695.9,10000.0,0.2,1206.0,93.4,1056.1,1203.5,1363.1,0.0775,2.84,3.73,6.57,1.0,0.2482,0.0314,0.2016,0.3039,4096.0,0.5,0.7249,0.7277,0.2237,0.2263,0.0484,0.0491,0.0,0.0,0.0,0.0,0.3017,0.3107,0.0919,0.0951,0.0195,0.0205,0.4809,0.4918,0.0913,0.0951,0.0061,0.0275,ghi_factor,0.7249,pv_cost,0.4809,simplified,1240.4,248.1,hefei,Hefei,合肥,hscw,183.27,0.7598,0.7,0.0,0.0,0.0,0.0
1581.6,14.7,0.3244,3318.0,0.2057,4.66,True,4809.0,673.6,10000.0,0.2,1305.8,91.4,1159.1,1302.9,1458.7,0.07,2.76,3.95,6.71,1.0,0.2283,0.0279,0.1866,0.2776,4096.0,0.5,0.6474,0.6499,0.2876,0.29,0.0622,0.0629,0.0,0.0,0.0,0.0,0.2393,0.2461,0.1056,0.1089,0.0225,0.0235,0.5535,0.5629,0.0671,0.0696,0.0055,0.0228,ghi_factor,0.6474,pv_cost,0.5535,simplified,1352.7,270.5,xian,Xian,西安,cold,1379.79,1.1518,0.7,0.0,0.0,0.0,0.0
1497.4,17.0,0.2861,3195.0,0.219,3.98,True,6151.0,784.0,10000.0,0.2,1236.3,105.6,1067.5,1233.4,1413.2,0.0854,2.83,3.19,6.02,1.0,0.2441,0.0323,0.1967,0.3012,4096.0,0.5,0.7813,0.7844,0.1771,0.1799,0.0383,0.039,0.0,0.0,0.0,0.0,0.3348,0.3463,0.0743,0.0776,0.0157,0.0167,0.3885,0.4011,0.1677,0.1753,0.0065,0.0352,ghi_factor,0.7813,pv_cost,0.3885,simplified,1270.7,254.1,shanghai,Shanghai,上海,hscw,481.01,0.6928,0.7,0.0,0.0,0.0,0.0
1648.5,22.7,0.1931,3437.0,0.2028,1.86,True,16639.0,1646.4,10000.0,0.2,1361.0,116.3,1175.3,1357.8,1555.9,0.0854,1.72,2.2,3.92,1.0,0.3252,0.0377,0.269,0.3911,4096.0,0.5,0.7813,0.7844,0.1771,0.1799,0.0383,0.039,0.0,0.0,0.0,0.0,0.3938,0.4037,0.0873,0.0903,0.0186,0.0195,0.2874,0.2961,0.1973,0.2042,0.0065,0.0289,ghi_factor,0.7813,ghi_factor,0.3938,simplified,1372.0,274.4,hongkong,Hong Kong,香港,hsww,494.87,0.4171,0.7,0.0,0.0,0.0,0.0
1401.1,20.8,0.3528,3068.0,0.237,4.3,True,5466.0,727.7,10000.0,0.2,1156.7,118.5,967.4,1154.3,1355.3,0.1025,3.75,3.8,7.54,1.0,0.3005,0.0432,0.2368,0.3767,4096.0,0.5,0.8541,0.8574,0.1171,0.1201,0.0253,0.026,0.0,0.0,0.0,0.0,0.4539,0.4704,0.0598,0.063,0.0125,0.0136,0.3163,0.3311,0.1342,0.1424,0.007,0.0429,ghi_factor,0.8541,ghi_factor,0.4539,simplified,1173.7,234.7,taipei,Taipei,台北,hscw,710.32,0.7673,0.7,0.0,0.0,0.0,0.0
