city,name_en,climate_zone,ghi_annual,ghi_rank,fdsi_score,fdsi_rank,rooftop_area_m2,capacity_mw,specific_yield,generation_gwh_yr,co2_reduction_kt_yr,population_million,grid_ef
qingdao,Qingdao,cold,1678.7,7,0.532736651989759,25,3869469.0,514.09,1440.7,740.6494630000001,407.3572046500001,10.0,0.55
urumqi,Urumqi,severe_cold,1658.3,9,0.5311203350742477,26,854228.0,99.01,1451.5,143.713015,79.04215825000001,4.1,0.55
taiyuan,Taiyuan,cold,1564.4,20,0.5246581956009044,27,9953172.0,1361.96,1357.1,1848.3159159999998,1016.5737538,5.3,0.55
nanning,Nanning,hsww,1417.5,33,0.5186137525612365,28,7528425.0,1020.03,1181.0,1204.65543,662.5604865,8.7,0.55
nanchang,Nanchang,hscw,1490.7,28,0.5179350572440901,29,1754010.0,195.65,1256.5,245.834225,135.20882375000002,6.3,0.55
nanjing,Nanjing,hscw,1456.1,30,0.5178855340923061,30,2847443.0,318.15,1238.9,394.156035,216.78581925,9.3,0.55
hefei,Hefei,hscw,1460.8,29,0.5147269505050662,31,2629050.0,329.6,1240.4,408.8358400000001,224.85971200000006,9.4,0.55
hongkong,Hong Kong,hsww,1648.5,11,0.4575454884926994,32,1754485.0,219.0,1372.0,300.468,165.25740000000002,7.5,0.55
ningbo,Ningbo,hscw,1425.1,31,0.4439615412356935,33,5363654.0,599.54,1207.9,724.184366,398.3014013,9.5,0.55
shanghai,Shanghai,hscw,1497.4,27,0.4407927865080294,34,2586601.0,306.33,1270.7,389.253531,214.08944205000003,24.9,0.55
hangzhou,Hangzhou,hscw,1277.6,39,0.4068115121274874,35,2112017.0,245.58,1084.3,266.282394,146.45531670000003,12.2,0.55
fuzhou,Fuzhou,hsww,1402.1,34,0.4060509373778737,36,454661.0,58.29,1182.2,68.910438,37.9007409,8.4,0.55
suzhou,Suzhou,cold,1388.3,36,0.3750079582701352,37,1143200.0,149.68,1179.0,176.47272,97.05999600000001,12.7,0.55
guiyang,Guiyang,mild,1193.9,40,0.3218401053849994,38,3474328.0,360.69,1020.1,367.939869,202.36692795000002,5.9,0.55
chengdu,Chengdu,hscw,1292.4,38,0.3206500140272879,39,3266345.0,378.54,1094.0,414.12276,227.76751800000002,21.0,0.55
taipei,Taipei,hscw,1401.1,35,0.2925817269272065,40,2089086.0,254.53,1173.7,298.741861,164.30802355,2.6,0.55
chongqing,Chongqing,hscw,1122.9,41,0.1752349925145734,41,3721005.0,435.42,948.1,412.821702,227.05193610000003,32.1,0.55
