scenario,scenario_label,city,name_en,climate_zone,province,grid_region,elec_price_eff,carbon_uplift_cny_kwh,d4_lcoe,d4_pbt,d4_npv_positive,D1_score,D2_score,D3_score,D4_score,D5_score,fdsi,rank,suitability
baseline,Baseline (2024),kunming,Kunming,,云南,南方,0.45,0.0,0.198,4.98,True,0.6219377942304932,0.6387849021059006,0.7172243406999503,0.37954082730679484,0.3925518925518926,0.5432075444632816,8,High
baseline,Baseline (2024),lanzhou,Lanzhou,,甘肃,西北,0.476,0.0,0.1818,4.3,True,0.6607172501109544,0.5627464172778041,0.546088565905639,0.4802520556274831,0.49481074481074483,0.5495899174401839,7,High
baseline,Baseline (2024),lhasa,Lhasa,,西藏,西藏,0.368,0.0,0.1468,4.49,True,1.0,0.45892036152414273,0.6362179487179487,0.5419042267185455,0.5558608058608059,0.6611978577111521,1,High
baseline,Baseline (2024),nanchang,Nanchang,,江西,华中,0.6,0.0,0.2214,4.14,True,0.482812163760563,0.5495382269169526,0.35832561747195896,0.4053305401167617,0.41758241758241754,0.43237866321128204,27,Low
baseline,Baseline (2024),nanjing,Nanjing,,江苏,华东,0.558,0.0,0.2246,4.54,True,0.5269679212840439,0.5258431451703335,0.6535212754724951,0.36046713216480547,0.3727106227106227,0.4862628117676513,14,Medium
baseline,Baseline (2024),nanning,Nanning,,广西,南方,0.618,0.0,0.2356,4.29,True,0.49256847607072063,0.6703918006683263,0.31045428149086685,0.35897473123973034,0.3708791208791209,0.41696630294139153,29,Low
baseline,Baseline (2024),ningbo,Ningbo,,浙江,华东,0.538,0.0,0.2303,4.84,True,0.40480416669029506,0.5730094866446882,0.2926042453481478,0.3193229837428646,0.33058608058608063,0.3647071612864575,32,Low
baseline,Baseline (2024),qingdao,Qingdao,,山东,华北,0.547,0.0,0.1931,3.96,True,0.5690354089880337,0.3403036623382449,0.33858265718021807,0.486536792913679,0.5021367521367521,0.4604844660282868,18,Medium
baseline,Baseline (2024),shanghai,Shanghai,,上海,华东,0.617,0.0,0.219,3.98,True,0.486947642082008,0.26010406153984167,0.3610144936364449,0.4258202013438867,0.43864468864468864,0.4105483513286641,31,Low
baseline,Baseline (2024),shenyang,Shenyang,,辽宁,东北,0.53,0.0,0.2098,4.46,True,0.40964750690722534,0.6199452779833592,0.4800052589686735,0.4016070104839564,0.4142246642246642,0.44967572897669367,24,Medium
baseline,Baseline (2024),shenzhen,Shenzhen,,广东,南方,0.68,0.0,0.2142,3.52,True,0.6389794945615207,0.3970073336473121,0.6595558912632083,0.479957418534979,0.4932844932844933,0.5510326306122685,6,High
baseline,Baseline (2024),shijiazhuang,Shijiazhuang,,河北,华北,0.511,0.0,0.1974,4.35,True,0.5178325354867381,0.9183520599250936,0.5465230907304077,0.44011437043312507,0.45299145299145305,0.5394211140958485,9,High
baseline,Baseline (2024),suzhou,Suzhou,,江苏,华东,0.558,0.0,0.236,4.78,True,0.44268342985192854,0.2606741573033708,0.13151381139186,0.31201342178708924,0.3229548229548229,0.2986180565563949,36,Low
baseline,Baseline (2024),taiyuan,Taiyuan,,山西,华北,0.452,0.0,0.205,5.14,True,0.5376362604488854,0.5447428738029559,0.39701203268276436,0.34860137053219153,0.35897435897435903,0.42735954072628013,28,Low
baseline,Baseline (2024),tangshan,Tangshan,,河北,华北,0.511,0.0,0.2048,4.52,True,0.4840514649108172,0.40158783556482547,0.4716274579079456,0.40732638616076766,0.4194139194139195,0.44229638231598856,26,Medium
baseline,Baseline (2024),tianjin,Tianjin,,天津,华北,0.49,0.0,0.2017,4.64,True,0.5308234021603491,0.5627872345197247,0.3960170926634341,0.40309044419317264,0.416971916971917,0.45266587115759627,23,Medium
baseline,Baseline (2024),urumqi,Urumqi,,新疆,西北,0.4,0.0,0.1917,5.45,True,0.4122277365282615,0.46115275067841843,0.2801817085353669,0.34967957148664475,0.35958485958485964,0.3638773785973083,33,Low
